#{"t_start": 1778387410.9525952, "env_id": "None"}
r,l,t
187.417229,308,211.29624
187.543806,273,211.64848
32.026549,91,211.770958
187.381452,284,212.130861
61.645256,121,212.29228
9.095006,45,212.357202
113.72414,184,212.594244
187.501914,302,213.545712
187.576715,256,213.894974
187.395423,366,214.421877
187.587373,308,214.839682
187.420164,308,215.23535
187.563425,267,215.578832
187.433223,309,215.979779
187.536698,249,216.82302
78.455374,137,217.028749
69.117869,127,217.190961
187.43945,277,217.543731
55.014517,118,217.70482
52.207391,106,217.834202
29.950724,73,217.946419
187.29099,260,218.315701
187.355597,275,218.677286
187.488202,297,219.070165
187.530347,278,219.415073
187.503073,297,220.359738
187.457839,281,220.733367
81.474643,152,220.928764
119.8167,193,221.217274
62.277397,118,221.379354
81.403296,144,221.555196
187.528608,318,221.979273
187.540373,303,222.357937
187.43549,272,222.720153
187.583455,305,223.682551
155.378889,232,223.983143
37.464311,104,224.126959
187.417958,272,224.484113
187.580107,286,224.843019
187.259906,267,225.185583
187.350432,292,225.567911
43.615901,105,225.703094
187.526086,307,226.624151
187.536884,298,227.009459
73.7028,132,227.184908
187.193687,330,227.605201
187.557228,299,227.993216
145.591168,210,228.281558
187.460104,316,228.728744
187.257198,297,229.129879
22.61335,67,229.732059
48.247396,113,229.908192
187.506003,315,230.326052
187.51021,336,230.7442
187.533964,297,231.138087
187.523192,321,231.559077
16.553428,73,231.662575
187.590553,322,232.072953
35.99328,93,232.193266
187.511506,344,233.179483
58.271005,109,233.327519
33.408049,94,233.461583
187.515984,321,233.895887
187.417027,301,234.30542
187.337993,324,234.720369
187.393975,316,235.118936
187.514039,303,235.498423
74.102071,132,236.202199
187.549003,283,236.601068
187.525904,298,237.117454
187.420083,318,237.602916
187.55451,280,238.019581
187.541661,269,238.369472
187.471329,285,238.816611
121.557963,180,239.082358
187.450228,321,240.204167
187.489568,322,240.643604
187.388465,308,241.104509
187.319521,281,241.504622
187.320351,295,241.918009
187.460306,313,242.449021
187.51489,307,242.946435
187.429436,292,244.210151
187.557638,286,244.679114
187.407541,312,245.171302
187.555162,305,245.628369
187.369835,299,246.055938
187.387691,308,246.529677
187.295153,303,247.551473
187.580064,287,247.974768
187.4606,316,248.410829
187.278638,307,248.850951
187.433401,295,249.288959
187.585122,290,249.729258
65.680137,133,249.920935
187.539654,290,250.315008
128.898542,193,251.208457
187.198945,284,251.58202
187.369098,340,252.020236
106.096476,175,252.260275
187.463978,306,252.70191
157.344809,228,252.999756
187.372034,287,253.393166
187.540106,316,253.823353
187.442029,313,254.95382
187.553088,298,255.375743
187.560461,274,255.750713
187.274686,311,256.195233
187.426558,311,256.624642
187.495303,309,257.039373
187.417767,332,258.174828
187.417013,301,258.597695
187.377017,311,259.015041
187.482341,311,259.467079
187.541713,329,259.958824
187.583309,345,260.437288
139.065311,213,260.776578
187.348462,270,261.745004
187.416782,290,262.147274
187.41953,301,262.556111
187.482686,320,262.994573
187.18566,282,263.391468
42.275301,104,263.539914
187.378196,311,263.993173
187.591901,259,264.352583
187.378555,285,265.401597
187.355221,295,265.819617
187.489453,331,266.290037
187.510857,301,266.740376
187.582023,280,267.143712
87.285854,144,267.337335
187.494844,342,267.81038
187.381375,262,268.820371
187.34479,258,269.198524
187.417716,318,269.731946
187.535949,281,270.141663
187.532662,329,270.582096
187.579978,334,271.01153
187.416423,320,271.429425
187.583109,311,272.369804
187.581454,307,272.770862
187.552736,328,273.194139
187.505245,329,273.618358
187.455111,303,274.000637
187.493832,312,274.39492
33.045754,104,274.542701
51.657281,104,274.664526
187.369626,273,275.647764
187.265385,299,276.020459
187.387897,310,276.436757
187.566506,242,276.747867
187.303508,284,277.110908
98.755551,164,277.327131
187.510795,334,277.747209
187.553097,333,278.701885
187.46775,300,279.080175
187.572251,332,279.521045
187.561133,306,280.036694
187.497794,288,280.531366
187.471534,281,280.915895
187.429966,313,281.318758
187.487201,309,282.319306
187.530563,327,282.760462
187.525318,310,283.161202
187.463932,342,283.593088
187.548649,341,284.034073
187.511803,283,284.401193
187.528103,339,285.40843
187.463776,320,285.844869
187.486235,330,286.268474
187.455325,291,286.639338
187.531407,298,287.012887
187.444618,304,287.396579
44.952296,101,287.54019
187.570359,288,288.443702
56.346208,109,288.61081
187.395251,289,288.970119
187.397881,305,289.368696
187.572722,265,289.709589
187.549625,313,290.106973
187.557957,327,290.565454
187.46505,313,291.002433
187.516392,315,291.945407
187.413522,278,292.311801
161.627702,241,292.623253
166.923141,254,292.951368
187.205636,287,293.314671
187.583725,336,293.74969
117.303981,174,293.988801
82.349422,148,294.181452
187.454744,304,295.110129
105.131589,170,295.333299
187.307331,282,295.72656
187.283521,301,296.133932
187.571435,312,296.537371
187.489822,309,296.935787
187.557977,315,297.327444
136.576604,202,298.12179
187.572542,301,298.518555
187.519528,343,298.957783
187.543383,328,299.373524
187.448477,293,299.762453
187.306769,284,300.143277
187.42017,327,300.582264
187.401464,315,301.608418
187.385183,287,301.98451
187.406427,288,302.345145
187.482655,298,302.721706
187.476978,328,303.13764
187.562092,301,303.535459
187.437201,278,303.902549
187.442113,291,304.80204
187.545748,296,305.182075
187.538105,325,305.588733
187.429388,271,305.989264
187.546358,308,306.389285
187.476776,293,306.757859
187.560803,328,307.191125
187.544303,316,308.13484
187.475514,341,308.567186
187.43903,302,308.952374
187.477912,284,309.319286
187.539929,293,309.694424
187.464655,316,310.09578
187.547094,299,311.067013
187.585063,339,311.513616
187.587392,313,311.926189
187.52727,329,312.344392
187.411531,349,312.784
187.512697,298,313.167166
187.400385,309,313.581609
187.519407,315,314.515134
187.519371,309,314.901958
187.467373,288,315.260527
187.467135,307,315.662785
187.445297,323,316.094234
187.516532,320,316.521537
187.376946,286,317.390619
187.507685,258,317.742114
187.443976,319,318.143322
187.500723,295,318.520426
63.925057,120,318.679557
187.411314,284,319.04702
35.850544,86,319.214094
187.516593,300,319.610963
187.50106,273,319.960125
187.36957,278,320.88643
187.505276,303,321.311774
187.548832,300,321.704709
187.523062,284,322.069601
187.492625,290,322.446057
187.506229,264,322.775601
187.4575,279,323.14424
187.515365,298,324.061906
187.432558,288,324.428359
187.455805,276,324.77338
187.426876,310,325.175043
44.511632,99,325.308387
187.546821,296,325.684578
187.536813,285,326.044261
187.361737,294,326.454009
187.541204,298,327.392502
132.321861,213,327.678997
187.516427,316,328.087782
78.959624,149,328.271985
187.395801,281,328.640863
187.524361,315,329.033478
187.483149,288,329.419446
187.491044,283,330.305816
187.524543,317,330.716127
65.946538,133,330.897861
187.358917,283,331.26461
187.578246,328,331.72104
187.575485,308,332.133411
187.452161,326,332.561211
187.524832,278,333.423028
187.516339,304,333.83701
187.522025,321,334.243586
187.527271,289,334.625315
187.579857,302,335.044245
187.369459,306,335.436624
187.481904,326,335.847283
187.548052,356,336.860638
187.479921,304,337.270547
187.49287,314,337.681719
187.398487,308,338.068634
187.589292,305,338.452443
187.464094,307,338.846815
187.43602,369,339.831534
187.565761,280,340.231763
187.544091,310,340.610152
187.488029,315,341.034561
187.531562,285,341.415171
187.524148,299,341.813806
187.365177,286,342.179868
187.407617,292,343.129485
187.574655,305,343.555916
54.628462,114,343.706836
187.537524,278,344.056251
187.513477,287,344.437239
187.341611,282,344.786613
187.528241,297,345.16363
187.540746,302,345.54883
187.558226,311,346.481999
187.580854,311,346.879937
187.406823,284,347.271132
187.455096,316,347.701794
187.426491,304,348.079427
187.449677,312,348.490324
187.541141,276,348.842372
187.522257,298,349.759438
187.518116,297,350.1354
187.381498,295,350.519149
187.502966,299,350.930255
187.562797,319,351.348036
187.4779,296,351.724145
187.540297,294,352.125574
21.584458,63,352.773739
187.507947,294,353.165249
187.512262,275,353.536006
187.32293,301,353.923801
187.482108,299,354.306576
187.542093,285,354.672603
187.337482,301,355.052715
187.44533,300,355.958875
187.570766,286,356.349741
187.530879,296,356.720427
187.55993,293,357.083989
187.427063,296,357.505254
187.485471,299,357.91042
187.546883,266,358.251709
187.432625,335,359.225016
187.497277,283,359.604596
187.510777,271,359.933938
187.438539,282,360.301813
21.091865,60,360.382907
187.483333,317,360.792821
187.576125,291,361.159445
187.552716,278,361.542353
187.448887,284,362.454314
187.537395,286,362.868206
187.589875,301,363.257203
187.567776,289,363.623552
187.575139,302,364.009745
187.516221,277,364.357363
187.465559,280,364.736401
187.550994,272,365.616142
187.443559,298,366.018408
